a,b
0.0,0.0
0.007,0.04220262433079355
0.014,0.04220262433079339
0.022,-0.011964657697276705
0.031,0.4232079508759823
0.04,1.0649335099712522
0.05,0.3493657187098774
0.06,-1.6295646519005462
0.071,-1.6295509656534601
0.08200001,1.5421942173181475
0.094,3.3758582945456785
0.107,0.7648360026567667
0.12,-1.998468336496591
0.134,-1.480232962622785
0.147,-1.4811257103478048
0.228,-2.231659121093872
0.241,3.5855930700694247
0.256,11.634901602907881
0.272,3.2537159926543318
0.288,-18.609635099119174
0.305,-18.610729851413716
0.323,14.891390707703103
0.341,34.98666790686474
0.359,3.2451829508889993
0.436,-38.751575382443065
0.455,-25.619746395906123
0.474,25.906564995911967
0.494,39.04562227295399
0.515,-2.962241352695834
0.536,-34.718611400645514
0.558,-14.595906079307657
0.638,18.954016355393446
0.66,18.929015416359338
0.683,-3.0299888041140584
0.707,-11.433667614392592
0.731,-3.2653020872804106
0.756,2.654656028800349
0.781,1.8316253217885232
0.8690001,1.6751998658849312
0.895,2.157454514713832
0.969,-0.4933075033062826
1.042,-2.9787281707482447
1.113,-1.1217614164551724
1.186,1.9415942658546443
1.263,1.7774420505705861
1.345,-0.22913012030739432
1.421,-0.7388640017407629
1.497,0.10225158194637962
1.577,0.4206235636838092
1.656,0.06843119820133375
1.794,0.028854537787980535
1.873,0.3428244323101738
1.95,0.5031732750966026
2.034,0.3459282577867727
2.116,0.16242764222362133
2.199,0.19308704419279796
2.289,0.3025448254734066
2.369,0.34789822985489205
2.453,0.37245852726086015
2.533,0.33631445837655305
2.615,0.16327500162181716
2.697,0.08319367779363124
2.777,0.345262341385641
2.858,0.6232854649526383
2.946,0.4046741900195723
3.031,-0.06671089499099
3.185,-0.04908298498097282
3.28,0.48015239172150737
3.372,0.7379089896632928
3.459,0.367116206348736
3.544,-0.07021942758403671
3.639,-0.019816066219734682
3.728,0.3583521990998618
3.819,0.6004665128702509
3.907,0.5046355352519039
4.0,0.17710325869314714
4.09,-0.0708256748543816
4.18,0.07921906135639792
4.271,0.5134413036331926
4.364,0.668816225251464
4.456,0.3006469461444342
4.547,-0.08565205458172896
4.711,0.03052183349301205
4.816,0.43002717234053583
4.91,0.5746359883339284
5.009,0.3769538187933881
5.104,0.12710502406003668
5.199,0.030130173396177563
5.292,0.16085996907794836
5.393,0.48015375104869373
5.493,0.6446207697202112
5.589,0.30416181643354845
5.69,-0.20032606930192895
5.791,-0.08465954231560549
5.902,0.6364121171477763
6.004,0.920987212290315
6.105,0.23375784561769472
6.205,-0.4723514432943783
6.371,-0.10329575585968095
6.47,0.8445134483394393
6.574,0.9585405964197525
6.678,0.06226361073367624
6.783,-0.4997629562262549
6.888,0.08647675990566109
7.002,0.8958538669104927
7.113,0.7204619502422566
7.217,-0.10856320600189853
7.327,-0.2947257801619274
7.439,0.415191946811673
7.551,0.872927112424003
7.66,0.3317904118116303
7.766,-0.35992827961432783
7.886,-0.05238832695071998
8.001,0.8387605034726465
8.18,0.875982394538988
8.288,-0.1046093754495129
8.404,-0.5873481989782349
8.514,0.24620808869702304
8.625,1.1208437681039845
8.733,0.6821667596851714
8.851,-0.3289425570978228
8.961,-0.3643522499809128
9.082,0.43755654947282197
9.207,0.750095078467847
9.323,0.35384320450845175
9.435,0.13117268668296816
9.549,0.24313994484528856
9.66,0.11468795020158541
9.785,-0.09002537861888162
9.899,0.2905785467718133
10.075,0.8860714199418834
10.198,0.6569283796305503
10.313,-0.2621459137644733
10.43,-0.5701892222459614
10.55,0.23406468364387897
10.669,1.0899519549454268
10.787,0.8734385902765572
10.903,-0.13126858998659524
11.034,-0.6422096488453293
11.156,-0.0005307191798654617
11.274,0.9549447565109389
11.395,0.9377609080561213
11.52,0.0024079713248542287
11.642,-0.49975852530471004
11.767,0.0669780741981674
11.888,0.7352763774104079
12.081,0.5853227472124061
12.206,0.08392072850154111
12.33,0.009077712578697071
12.455,0.1954665648290106
12.587,0.22293541133044648
12.712,0.26442842226524704
12.843,0.44580433504655315
12.973,0.3841159851174348
13.101,0.04129974235980432
13.23,-0.008490657458708604
13.357,0.32364764939475865
13.489,0.4130103090704426
13.618,0.15973633364826478
13.749,0.1886446996631362
13.891,0.5057377634837938
14.023,0.3542154186433672
14.217,-0.235789130455914
14.35,-0.22721172018273486
14.485,0.5937371448732534
14.622,1.016850296894561
14.766,0.31607328834591875
14.899,-0.5135838858600128
15.037,-0.2946473691321903
15.169,0.5665608579646698
15.303,0.8208560666907185
15.439,0.25795171129955213
15.577,-0.15617283255741424
15.725,0.14452146985183778
15.862,0.5220412023167333
16.0,0.2470921952544377
16.145,-0.25959992804403553
16.285,-0.03352921560956809
16.488,0.8077686981330346
16.634,1.0161496102548007
16.778,0.0745253000818902
16.927,-0.8381422289736902
17.067,-0.44900298846309716
17.215,0.7669875762563532
17.364,1.2958849788372495
17.513,0.6331959502772976
17.656,-0.33182139159749274
17.803,-0.6756606938869303
17.945,-0.27873675381849033
18.09,0.5068293610113198
18.24,1.1681847225845843
18.406,1.0761159817220913
18.549,0.03867680703979742
18.699,-1.101975924512602
18.913,-1.0409786755305022
19.058,0.504118565637935
19.222,2.087026662007954
19.369,1.7589635294437524
19.521,-0.5925025373671158
19.671,-2.4372620852818794
19.822,-1.2098396979859067
19.972,2.0609123843118415
20.131,3.315380432946581
20.288,0.655360313200275
20.439,-2.70090583781678
20.594,-2.456833270243794
20.746,1.0324071960680357
20.914,3.3550746486920904
21.069,1.8513071513595285
21.222,-1.41379726805923
21.445,-2.657778093791115
21.605,-0.6900585351559172
21.777,2.2157822924968644
21.933,2.8622295505917816
22.087,0.43161444769754775
22.245,-2.4036647272760296
22.41,-2.2115953841193505
22.584,0.9875652723436534
22.745,3.3091742154935297
22.914,1.7517648993901933
23.076,-1.782503190427904
23.241,-2.819030171776839
23.415,-0.10894976668821801
23.581,2.8448589717275703
23.74,2.429937618642754
23.902,-0.602371788787281
24.125,-2.4611913804296632
24.306,-1.1485555614803524
24.471,1.5100844364712875
24.642,2.4937658437509587
24.808,0.9435670551377331
24.983,-1.3672038755071532
25.15,-2.0201091598840986
25.323,-0.2258748486115061
25.493,2.2091436436710397
25.664,2.390190411996922
25.843,-0.2565183309002902
26.013,-2.5935539373816887
26.183,-1.3871110337064974
26.362,2.0116575236821497
26.547,2.9941005972764136
26.715,0.1113201030293407
26.953,-2.625193862237299
27.123,-1.4105069798112273
27.296,1.8685594312494187
27.48,2.5199556503732
27.653,-0.10449040915728929
27.828,-2.005912694587008
28.012,-0.6492707765229642
28.207,1.6066265917763871
28.388,1.4534339233150706
28.569,-0.5202625193887517
28.744,-1.1727291693904267
28.943,0.29969818336383636
29.122,1.4271652007984352
29.303,0.4492901292676662
29.482,-1.050929237039943
29.679,-0.6786506117777977
29.921,1.0763061134890526
30.103,1.5431031850941088
30.284,-0.09316105021025348
30.473,-1.4689113236688056
30.662,-0.5045111159645075
30.844,1.4303969246519206
31.027,1.4839220461075653
31.216,-0.3813724030255333
31.416,-1.3284920327004472
31.602,-0.016025072518769327
31.79,1.373711857246892
31.978,0.6695563264820045
32.179,-0.8247472142448389
32.367,-0.5651147737591253
32.553,0.978438611116762
32.752,1.113132555041655
33.016,-0.5113424925437826
33.207,-1.2064759830545564
33.4,0.30812771100597947
33.588,1.6797256978113877
33.789,0.6772233378835791
33.976,-1.176969025448675
34.168,-1.0152418907011918
34.361,0.8599280838471203
34.569,1.539959198291713
34.762,0.07087185638548713
34.952,-1.2091096678316153
35.145,-0.39620981089569307
35.348,1.1636888145954023
35.543,1.0964601747644525
35.739,-0.420671813104134
35.937,-1.080884494658936
36.212,0.040670483409848385
36.409,1.2221739815741388
36.606,0.7667127752120213
36.813,-0.5347056792097409
37.017,-0.751613882324389
37.214,0.2605076970377861
37.41,0.8362365011339772
37.618,0.21730865052968582
37.824,-0.3877774109102944
38.022,0.03003236933245442
38.221,0.6083334367043669
38.446,0.20809908203135827
38.644,-0.5280907536862736
38.846,-0.24412015728425812
39.068,0.7275616372320848
39.273,0.8064093001539768
39.538,-0.19471839314540856
39.741,-0.702857251373184
40.009,0.0235080315284379
